"Entry ID","Lemma ID","Batch","List","Item","English Word Frequency","Frequency","Frequency SD","Frequency Z","Frequency N","Frequency (Native)","Frequency Sd (Native)","Frequency Z (Native)","Frequency N (Native)","Frequency (Nonnative)","Frequency SD (Nonnative)","Frequency N (Nonnative)","Frequency Z (Nonnative)","Dominant English Translation","Sign Unknown (%)","English Translation Agreement (%)","Unknown To Participant (%) (Native)","English Name Agreement (%) (Native)","Unknown To Participant (%) (Nonnative)","English Name Agreement (%) (Nonnative)","Non-Signer Iconicity","Non-Signer Iconicity SD","Non-Signer Iconicity Z","Non-Signer Iconicity N","Non-Signer Iconicity SD","Iconicity Type","Deaf Signer Iconicity","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity N","Deaf Signer Iconicity Z","Deaf Signer Iconicity (Native)","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity Z (Native)","Deaf Signer Iconicity N (Native)","English Translation Agreement","Guess accuracy","Transparency","Transparency SD","Transparency Z","Lexical Class","Sign Onset (ms)","Sign Offset (ms)","Duration (ms)","Video Length (ms)","In CDI","CDI Semantic Category","Initialized Sign","Fingerspelled Loan Sign","Compound","Number Of Morphemes","Handshape","Selected Fingers","Flexion","Flexion Change","Spread Change","Thumb Position","Thumb Contact","Sign Type","Path Movement","Repeated Movement","Major Location","Minor Location","Second Minor Location","Contact","Nondominant Handshape","Wrist Twist","Handshape M2","Selected Fingers M2","Flexion M2","Flexion Change M2","Spread M2","Spread Change M2","Thumb Position M2","Thumb Contact M2","Sign Type M2","Movement M2","Repeated Movement M2","Major Location M2","Minor Location M2","Second Minor Location M2","Contact M2","Nondominant Handshape M2","Wrist Twist M2","Handshape M3","Selected Fingers M3","Flexion M3","Flexion Change M3","Spread M3","Spread Change M3","Thumb Position M3","Thumb Contact M3","Signtype M3","Movement M3","Repeated Movement M3","Major Location M3","Minor Location M3","Second Minor Location M3","Contact M3","Nondominant Handshape M3","Wrist Twist M3","Handshape M4","Selected Fingers M4","Flexion M4","Flexion Change M4","Spread M4","Spread Change M4","Thumb Position M4","Thumb Contact M4","Sign Type M4","Movement M4","Repeated Movement M4","Major Location M4","Minor Location M4","Second Minor Location M4","Contact M4","Nondominant Handshape M4","Wrist Twist M4","Handshape M5","Selected Fingers M5","Flexion M5","Flexion Change M5","Spread M5","Spread Change M5","Thumb Position M5","Thumb Contact M5","Signtype M5","Movement M5","Repeated Movement M5","Major Location M5","Minor Location M5","Second Minor Location M5","Contact M5","Nondominant Handshape M5","Wrist Twist M5","Handshape M6","Selected Fingers M6","Flexion M6","Flexion Change M6","Spread M6","Spread Change M6","Thumb Position M6","Thumb Contact M6","Sign Type M6","Movement M6","Repeated Movement M6","Major Location M6","Minor Location M6","Second Minor Location M6","Contact M6","Nondominant Handshape M6","Wrist Twist M6","Sign Type Frequency","Major Location Frequency","Minor Location Frequency","Second Minor Location Frequency","Movement Frequency","Selected Fingers Frequency","Flexion Frequency","Flexion Change Frequency","Repeated Movement Frequency","Contact Frequency","Spread Frequency","Spread Change Frequency","Thumb Contact Frequency","Thumb Position Frequency","Ulnar Rotatio Nfrequency","Phonotactic Probability","Parameter Neighborhood Density","Neighborhood Density","SignBank Reference ID","Age Of Acquisition","Age Of Acquisition (Empirical)"
"frenchfries","frenchfries","A","1","85","null","4.645","1.817","0.325","31","4.611","1.787","0.345","18","4.692","1.932","13","0.298","null","null","null","null","null","null","null","2.139","1.606","-0.5","36","null","Arbitrary","1.48","1.03","31","-0.95","1.21","0.71","-1.03","19","null","null","null","null","null","Noun","567","1168","601","2169","Yes","Food and Drink","1","1","null","2","f","i","Curved","null","null","Open","1","One Handed","Curved","null","Neutral","Neutral","Neutral","null","null","null","f","i","Curved","null","null","null","Open","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.363","0.363","0.426","0.233","0.261","0.225","null","0.554","0.378","null","null","0.316","0.657","0.836","-0.049","284","4","2357","31","22"
"friday","friday","B","2","20","3.386","6.32","0.9","1.044","25","6.286","1.139","0.984","14","6.364","0.505","11","1.12","null","null","null","null","null","null","null","1.033","0.183","-0.832","30","null","Arbitrary","1.32","1.01","31","-0.82","1.46","1.18","-0.71","22","2.7","null","2.63","1.34","-0.85","Name","534","1068","534","1835","No","null","1","null","null","1","f","i","Curved","null","null","Open","1","One Handed","Circular","1","Neutral","Neutral","Neutral","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.363","0.363","0.426","0.076","0.261","0.225","0.791","0.446","0.378","null","null","0.316","0.657","0.836","-0.063","131","7","558","null","null"
"friend","friend","D","3","10","4.33","6.462","0.905","1.324","26","6.5","0.894","1.281","16","6.4","0.966","10","1.393","null","null","null","null","null","null","null","2.25","1.452","-0.386","24","null","Arbitrary","1.77","1.07","26","-0.67","1.5","0.92","-0.77","18","null","null","null","null","null","Noun","567","1502","934","2069","Yes","People","null","null","null","1","curved_1","i","Curved","null","null","Closed","null","Symmetrical Or Alternating","Other","null","Neutral","Neutral","Neutral","1","curved_1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.017","0.261","0.225","0.791","0.554","0.622","null","null","0.684","0.343","0.836","0.131","18","null","462","30","28"
"friendly","friendly","C","2","31","3.124","3.933","1.484","-0.184","30","3.944","1.552","-0.305","18","3.917","1.443","12","-0.002","null","null","null","null","null","null","null","4.63","1.801","0.908","27","null","null","2.31","1.65","30","-0.26","2.4","1.73","-0.25","21","null","null","null","null","null","Adjective","634","1168","534","2202","No","null","null","null","null","1","open_b","imrp","Fully Open","null","1","Open","null","Symmetrical Or Alternating","Straight","1","Head","Head Away","Head Away","null","open_b","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.266","0.066","0.178","0.457","0.449","0.409","0.791","0.446","0.378","0.602","0.122","0.684","0.657","0.836","0.226","426","null","2162","null","null"
"friends_no_more_1","friends_no_more_1","J","3","34","null","1.696","1.222","-1.37","29","2","1.472","-1.231","15","1.3","0.675","14","-1.549","friends_no_more","0.207","0.696","0.133","0.692","0.286","0.7","3.13","1.604","0.164","23","no longer friends","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","null","534","1235","701","1702","No","null","null","null","null","1","r","im","Crossed","1","1","Closed","null","One Handed","Straight","null","Neutral","Neutral","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.363","0.363","null","0.457","0.14","0.012","0.209","0.554","0.378","0.602","0.122","0.684","0.343","0.836","-0.073","450","null","null","null","null"
"fringe","fringe","G","2","46","1.934","2.048","1.658","-1.313","27","2.091","1.921","-1.326","12","2","1.414","15","-1.299","null","0.222","null","0.083","null","0.333","null","2.781","1.601","-0.372","32","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","367","1168","801","1802","No","null","null","null","null","1","4","imrp","Fully Open","null","null","Closed","null","One Handed","Curved","null","Arm","Upper Arm","Forearm Back","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.026","0.005","0.003","0.233","0.449","0.409","0.791","0.554","0.622","0.398","0.878","0.684","0.343","0.836","0.085","24","1","null","null","null"
"frisk","frisk","K","null","null","1.903","3.261","1.888","-0.514","25","2.7","1.16","-0.486","11","3.692","2.25","14","-0.535","null","0.08","null","0.091","null","0.071","null","5.333","1.494","0.854","24","FRISK","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","534","1668","1134","2236","No","null","null","null","null","1","5","imrp","Fully Open","null","null","Open","null","Symmetrical Or Alternating","Z-shaped","null","Neutral","Neutral","Neutral","null","5","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.034","0.449","0.409","0.791","0.554","0.378","0.398","0.878","0.684","0.657","0.836","0.541","95","8","null","null","null"
"frog","frog","D","3","59","2.781","2.731","1.779","-0.802","26","2.563","1.896","-0.925","16","3","1.633","10","-0.605","null","null","null","null","null","null","null","2.25","1.26","-0.35","24","null","Arbitrary","2.31","1.62","26","-0.39","1.83","1.25","-0.61","18","null","null","null","null","null","Noun","634","1435","801","2135","Yes","Animals","null","null","null","1","s","im","Fully Closed","1","1","Closed","1","One Handed","Straight","1","Head","Under Chin","Head Away","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.006","0.178","0.457","0.14","0.067","0.209","0.446","0.622","null","0.122","0.316","0.343","0.836","-0.467","388","null","137","27","28"
"from","from","D","1","59","5.017","4.889","1.601","0.421","27","4.875","1.746","0.387","16","4.909","1.446","11","0.471","null","null","null","null","null","null","null","2.6","1.397","-0.204","35","null","Arbitrary","1.69","1.01","26","-0.72","1.78","1.17","-0.63","18","null","null","null","null","null","Minor","701","1635","934","2169","No","null","null","null","null","1","bent_1","i","Bent","null","null","Closed","null","Asymmetrical Different Handshape","Curved","null","Hand","Finger Back","Hand Away","1","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.019","0.155","0.233","0.261","0.099","0.791","0.554","0.622","null","null","0.684","0.343","0.836","-0.27","189","1","1502","null","null"
"from_then_on","from_then_on","H","2","40","null","4.929","1.12","0.484","28","5.071","1.207","0.591","14","4.786","1.051","14","0.376","null","null","null","null","null","null","null","3.5","1.668","0.227","24","from then on","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Minor","434","1168","734","1869","No","null","null","null","null","1","open_b","imrp","Fully Open","null","null","Open","null","Asymmetrical Same Handshape","Curved","null","Hand","Finger Back","Hand Away","1","open_b","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.059","0.25","0.019","0.155","0.233","0.449","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.657","0.836","0.31","266","9","1503","null","null"
"front","front","C","1","39","3.967","4.241","1.215","-0.148","29","4.235","1.251","-0.225","17","4.25","1.215","12","-0.038","null","0.033","null","0.056","null","null","null","4.567","1.633","0.872","30","null","Pantomimic","3.5","1.96","30","0.32","3.62","2.16","0.31","21","2.29","null","3.2","1.7","-0.24","Minor","501","1134","634","1735","Yes","Prepositions and Locations","null","null","null","1","open_b","imrp","Fully Open","null","null","Open","null","One Handed","Straight","1","Head","Head Away","Head Away","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.066","0.178","0.457","0.449","0.409","0.791","0.446","0.378","0.602","0.878","0.684","0.657","0.836","0.371","426","5","138","45","35"
"frown_1","frown_1","F","2","57","2.021","5.593","1.185","0.734","27","5.5","1.345","0.67","14","5.692","1.032","13","0.803","null","null","null","null","null","null","null","5.935","1.632","1.125","31","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","501","1168","667","1735","No","null","null","null","null","1","curved_5","imrp","Curved","1","null","Open","null","One Handed","Straight","null","Head","Head Away","Head Away","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.066","0.178","0.457","0.449","0.225","0.209","0.554","0.378","0.398","0.878","0.684","0.657","0.836","0.233","380","null","182","null","null"
"frown_2","frown_2","K","null","null","2.021","4.72","1.838","0.284","25","3.909","1.868","0.066","11","5.357","1.598","14","0.455","null","null","null","null","null","null","null","6.8","0.5","1.343","25","FROWN","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","634","1602","968","2269","No","null","null","null","null","1","flat_1","i","Flat","null","null","Closed","null","Symmetrical Or Alternating","Curved","null","Head","Mouth","Chin","1","flat_1","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.266","0.046","0.012","0.233","0.261","0.162","0.791","0.554","0.622","null","null","0.684","0.343","0.164","-0.349","130","1","1504","null","null"
"fruit","fruit","C","2","83","3.045","5.3","1.466","0.53","30","5.5","1.654","0.519","18","5","1.128","12","0.547","null","null","null","null","null","null","null","1.519","0.802","-0.612","27","null","Arbitrary","1.37","0.67","30","-0.81","1.43","0.75","-0.83","21","2.43","null","3.5","1.79","0.03","Noun","501","934","434","1735","No","null","1","null","null","1","f","i","Curved","null","null","Open","1","One Handed","None","1","Head","Mouth","null","1","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.046","null","0.153","0.261","0.225","0.791","0.446","0.622","null","null","0.316","0.657","0.164","-0.439","242","3","1505","null","null"
"frustrate","frustrate","C","2","50","1.176","4.667","1.373","0.225","30","4.722","1.274","0.126","18","4.583","1.564","12","0.373","null","null","null","null","null","null","null","2.296","1.636","-0.26","27","null","Arbitrary","1.9","1.32","30","-0.51","1.86","1.28","-0.58","21","1.98","null","3.32","1.42","-0.47","Verb","467","868","400","1702","No","null","null","null","null","1","closed_b","imrp","Fully Open","null","null","Closed","null","One Handed","Straight","1","Head","Chin","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.037","null","0.457","0.449","0.409","0.791","0.446","0.622","0.602","0.878","0.684","0.343","0.836","0.29","341","8","1506","null","null"
"fry","fry","H","1","69","null","5.5","1.575","0.817","28","5.5","1.557","0.812","14","5.5","1.653","14","0.822","cook","null","1","null","1","null","1","2.65","1.631","-0.368","20","to fry","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","400","1368","968","1835","No","null","null","null","null","1","open_b","imrp","Fully Open","null","null","Open","null","Asymmetrical Same Handshape","None","1","Hand","Hand Away","Hand Away","null","open_b","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.059","0.25","0.035","0.155","0.153","0.449","0.409","0.791","0.446","0.378","0.602","0.878","0.684","0.657","0.164","-0.168","135","null","97","null","null"
"full","full","D","2","48","3.93","5.852","1.199","0.937","27","5.765","1.251","0.809","17","6","1.155","10","1.154","null","null","null","null","null","null","null","2.667","1.493","-0.137","30","null","Arbitrary","2.58","1.36","26","-0.25","2.67","1.46","-0.16","18","null","null","null","null","null","Adjective","567","1335","767","2035","Yes","Descriptive Signs","null","null","null","1","open_b","imrp","Fully Open","null","null","Open","null","Asymmetrical Different Handshape","Straight","null","Hand","Finger Radial","Hand Away","1","S","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.035","0.155","0.457","0.449","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.657","0.836","0.479","459","4","139","41","23"
"fun","fun","E","2","57","4.08","5.969","1.062","0.93","32","6.267","0.799","1.077","15","5.706","1.213","17","0.799","null","null","null","null","null","null","null","1.7","1.466","-1.005","30","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Adjective","434","1201","767","1735","No","null","null","null","1","2","h","im","Fully Open","null","null","Closed","null","One Handed","None","null","Head","Cheek Nose","null","1","null","null","h","im","FullyOpen","null","null","null","Closed","null","Asymmetrical Same Handshape","Straight","null","Hand","Finger Back","null","1","h","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.035","null","0.153","0.14","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.343","0.836","0.163","233","null","141","null","null"
"function","function","J","2","71","2.753","3.966","1.783","-0.068","30","3.857","1.61","-0.257","15","4.067","1.981","15","0.108","function","0.033","0.966","0.067","1","null","0.933","1.84","1.281","-0.676","25","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Noun","367","1168","801","1635","No","null","1","null","null","1","f","i","Curved","null","null","Open","1","Asymmetrical Different Handshape","Back And Forth","null","Hand","Palm Back","Palm Back","1","B","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.024","0.011","0.026","0.261","0.225","0.791","0.554","0.622","null","null","0.316","0.657","0.836","-0.325","50","1","1507","null","null"
"funny","funny","E","3","38","4.046","5.552","1.617","0.708","30","5.143","1.916","0.464","14","5.933","1.223","16","0.935","null","0.033","null","null","null","0.063","null","3.8","1.846","0.105","30","null","Arbitrary","null","null","null","null","null","null","null","null","null","null","null","null","null","Adjective","534","1201","667","1702","Yes","Descriptive Signs","null","null","null","1","flat_h","im","Flat","1","null","Closed","null","One Handed","None","1","Head","Cheek Nose","null","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.035","null","0.153","0.14","0.162","0.209","0.446","0.622","0.602","0.878","0.684","0.343","0.836","-0.223","224","1","142","31","28"
"furniture","furniture","C","2","59","2.886","3.261","1.789","-0.617","23","3.308","2.057","-0.688","13","3.2","1.476","12","-0.525","null","0.167","null","0.167","null","0.167","null","1","null","-0.854","27","null","Arbitrary","1.39","0.75","30","-0.81","1.5","0.86","-0.8","21","2.23","null","3.84","1.71","-0.06","Noun","434","834","400","1435","No","null","1","null","null","1","f","i","Curved","null","null","Open","1","One Handed","Straight","1","Neutral","Neutral","Neutral","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.363","0.363","0.426","0.457","0.261","0.225","0.791","0.446","0.378","null","null","0.316","0.657","0.836","0.096","491","13","2473","null","null"
"future","future","C","3","80","3.723","4.9","1.583","0.346","30","5.111","1.605","0.353","18","4.583","1.564","12","0.336","null","null","null","null","null","null","null","2.833","1.648","-0.078","36","null","Arbitrary","2.63","1.54","30","-0.12","2.76","1.67","-0.09","21","1.73","null","3.25","1.77","-0.15","Noun","567","1134","567","1969","No","null","null","null","null","1","open_b","imrp","Fully Open","null","null","Open","null","One Handed","Curved","null","Head","Other","Head Away","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.025","0.178","0.233","0.449","0.409","0.791","0.554","0.378","0.602","0.878","0.684","0.657","0.836","0.394","202","8","320","null","null"
"fuzzy","fuzzy","K","null","null","2.474","4.64","1.578","0.219","25","3.818","1.537","0.101","11","5.286","1.326","14","0.311","null","null","null","null","null","null","null","2.958","1.517","-0.278","24","FUZZY","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Adjective","534","1835","1301","2369","No","null","null","null","null","1","flat_b","imrp","Flat","null","null","Open","null","Asymmetrical Different Handshape","Circular","1","Hand","Palm Back","Palm Back","1","Lax","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.175","0.25","0.024","0.011","0.076","0.449","0.162","0.791","0.446","0.622","0.602","0.878","0.684","0.657","0.836","0.014","68","null","null","null","null"
"gallaudet","gallaudet","B","2","10","null","4.2","2.121","-0.24","25","4.143","1.956","-0.311","14","4.273","2.412","11","-0.149","null","null","null","null","null","null","null","1.067","0.254","-0.817","30","null","Arbitrary","2.63","1.63","31","-0.15","2.86","1.74","-0.01","22","1.81","null","3.79","1.87","-0.06","Name","434","901","467","1802","No","null","null","null","null","1","g","i","Flat","1","null","Open","1","One Handed","Straight","1","Head","Head Away","Head Away","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.266","0.066","0.178","0.457","0.261","0.162","0.209","0.446","0.378","null","null","0.316","0.657","0.836","-0.361","336","1","2925","null","null"
"gamble","gamble","F","1","51","2.66","3.593","1.575","-0.361","27","3.714","1.383","-0.31","14","3.462","1.808","13","-0.416","null","null","null","null","null","null","null","5.636","1.295","0.914","33","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Verb","367","1301","934","1735","No","null","null","null","1","2","s","imrp","Fully Closed","null","null","Closed","1","One Handed","Straight","1","Neutral","Neutral","Neutral","null","null","null","5","imrp","FullyOpen","null","1","null","Open","null","One Handed","Straight","null","Neutral","Neutral","Neutral","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.392","0.363","0.363","0.426","0.457","0.449","0.067","0.791","0.446","0.378","null","0.878","0.316","0.343","0.836","0.099","524","11","null","null","null"
"game","game","C","3","47","4.077","5.833","1.117","0.933","30","6","1.029","0.893","18","5.583","1.24","12","0.992","game","null","1","null","1","null","1","1.583","0.806","-0.653","36","null","Arbitrary","1.9","1.19","30","-0.53","2","1.26","-0.53","21","2.16","null","4.21","1.4","0.19","Noun","434","901","467","1735","Yes","Games and Routines","null","null","null","1","a","t","null","null","null","Open","null","Symmetrical Or Alternating","Straight","1","Neutral","Neutral","Neutral","1","a","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.345","0.363","0.363","0.426","0.457","0.057","null","null","0.446","0.622","null","null","null","0.657","0.836","-0.272","520","16","463","33","23"
